elex_district,elex_block,lgd_district,lgd_block_name,lgd_block_code,match_type
Gorakhpur,Gagaha,Gorakhpur,Gagaha,1758,exact
Gorakhpur,Gola,Gorakhpur,Gola,1759,exact
Gorakhpur,J. O. Kauriya,Gorakhpur,Jangal Kaudia,1760,spelling
Gorakhpur,Kauriram,Gorakhpur,Kauri Ram,1761,spelling
Gorakhpur,Khajni,Gorakhpur,Khajni,1762,exact
Gorakhpur,Khorabaar,Gorakhpur,Khorabar,1763,spelling
Gorakhpur,Pali,Gorakhpur,Pali,1764,exact
Gorakhpur,Piparoli,Gorakhpur,Piprauli,1766,spelling
Gorakhpur,Pipraich,Gorakhpur,Pipraich,1765,exact
Gorakhpur,Sahjanwao,Gorakhpur,Sahjanawa,1767,spelling
Gorakhpur,Sardarnagar,Gorakhpur,Sardarnagar,1768,exact
Gorakhpur,Uruvaon,Gorakhpur,Uruwa,1769,spelling
Hamirpur,Gohand,Hamirpur,Gohand,1770,exact
Hamirpur,Kurara,Hamirpur,Kurara,1771,exact
Hamirpur,Maudha,Hamirpur,Maudaha,1772,spelling
Hamirpur,Muskra,Hamirpur,Muskara,1773,spelling
Hamirpur,Raath,Hamirpur,Rath,1774,spelling
Hamirpur,Sarila,Hamirpur,Sarila,1775,exact
Hamirpur,Sumerpur,Hamirpur,Sumerpur,1776,exact
Hardoi,Ahirorhi,Hardoi,Ahirori,1777,spelling
Hardoi,Barkhani,Hardoi,Bharkhani,1781,spelling
Hardoi,Bawan,Hardoi,Bawan,1778,exact
Hardoi,Benhadar,Hardoi,Behendar,1779,spelling
Hardoi,Bharawan,Hardoi,Bharawan,1780,exact
Hardoi,Bilgraam,Hardoi,Bilgram,1782,spelling
Hardoi,Hariyawan,Hardoi,Hariyawan,1783,exact
Hardoi,Harpalpur,Hardoi,Harpalpur,1784,exact
Hardoi,Kachauna,Hardoi,Kachauna,1785,exact
Hardoi,Kothawan,Hardoi,Kothawan,1786,exact
Hardoi,Madhauganj,Hardoi,Madhoganj,1787,spelling
Hardoi,Mallawan,Hardoi,Mallawan,1788,exact
Hardoi,Pihani,Hardoi,Pihani,1789,exact
Hardoi,Sandi,Hardoi,Sandi,1790,exact
Hardoi,Sandila,Hardoi,Sandila,1791,exact
Hardoi,Shahabaad,Hardoi,Shahabad,1792,spelling
Hardoi,Surusa,Hardoi,Sursa,1793,spelling
Hardoi,Tadiyawan,Hardoi,Tandiyawan,1794,spelling
Hardoi,Todarpur,Hardoi,Todarpur,1795,exact
Hathras,Hasayan,Hathras,Hasayan,1919,exact
Hathras,Mursan,Hathras,Mursan,1921,exact
Hathras,Sadabad,Hathras,Sadabad,1922,exact
Hathras,Sahpau,Hathras,Sehpau,1924,spelling
Hathras,Sasni,Hathras,Sasni,1923,exact
Hathras,Sikandra Rao,Hathras,Sikandrarao,1925,spelling
Itawah,Badh. Pura,Etawah,Barhpura,1660,spelling
Itawah,Basrehar,Etawah,Basrehar,1661,exact
Itawah,Bharathana,Etawah,Bharthana,1662,spelling
Itawah,Chakarnagar,Etawah,Chakarnagar,1663,exact
Itawah,Jaswantnagar,Etawah,Jaswantnagar,1664,exact
Itawah,Mahewa,Etawah,Mahewa,1665,exact
Itawah,Saifai,Etawah,Sefai,1666,spelling
Itawah,Takha,Etawah,Takha,1667,exact
Jalaun,Dakor,Jalaun,Dakore,1796,spelling
Jalaun,Jalaun,Jalaun,Jalaun,1797,exact
Jalaun,Kadoura,Jalaun,Kadaura,1798,spelling
Jalaun,Kochan,Jalaun,Konch,1799,spelling
Jalaun,Kuthound,Jalaun,Kuthaund,1800,spelling
Jalaun,Madhogarh,Jalaun,Madhogarh,1801,exact
Jalaun,Mahewa,Jalaun,Maheva,1802,spelling
Jalaun,Nadigaon,Jalaun,Nadigaon,1803,exact
Jalaun,Rampura,Jalaun,Rampura,1804,exact
Jaunpur,Badlapur,Jaunpur,Badla Pur,1805,spelling
Jaunpur,Barsathi,Jaunpur,Barasathi,1807,spelling
Jaunpur,Buxa,Jaunpur,Baksha,1806,spelling
Jaunpur,Dobhi,Jaunpur,Dobhi,1809,exact
Jaunpur,Jalalpur,Jaunpur,Jalal Pur,1810,spelling
Jaunpur,Karanja Kala,Jaunpur,Karanja Kala,1811,exact
Jaunpur,Kerakat,Jaunpur,Kerakat,1812,exact
Jaunpur,Khutahan,Jaunpur,Khuthan,1813,spelling
Jaunpur,Machhalishahr,Jaunpur,Machchali Shahar,1814,spelling
Jaunpur,Madiyahu,Jaunpur,Mariyahu,1816,spelling
Jaunpur,Maharajganj,Jaunpur,Maharaj Ganj,1815,spelling
Jaunpur,Muftiganj,Jaunpur,Mufti Ganj,1817,spelling
Jaunpur,Mugrabadshahapur,Jaunpur,Mungra Badshah Pur,1818,spelling
Jaunpur,Ramnagar,Jaunpur,Ram Nagar,1819,spelling
Jaunpur,Rampur,Jaunpur,Ram Pur,1820,spelling
Jaunpur,Shahganj Sodhi,Jaunpur,Shah Ganj,1821,spelling
Jaunpur,Sikarara,Jaunpur,Sikrara,1822,spelling
Jaunpur,Srikoni,Jaunpur,Sirkoni,1823,spelling
Jaunpur,Suitha Kala,Jaunpur,Suitha Kala,1824,exact
Jaunpur,Sujangang,Jaunpur,Sujan Ganj,1825,spelling
Jhanshi,Babina,Jhansi,Babina,1826,exact
Jhanshi,Badagaon,Jhansi,Badagaon,1827,exact
Jhanshi,Bamour,Jhansi,Bamaur,1828,spelling
Jhanshi,Chirgaon,Jhansi,Chirgaon,1830,exact
Jhanshi,Moth,Jhansi,Moth,1833,exact
Jyotiba Phule Nagar,Amroha,Amroha,Amroha,1834,exact
Jyotiba Phule Nagar,Dhanaura,Amroha,Dhanaura,1835,exact
Jyotiba Phule Nagar,Gajraula,Amroha,Gajraula,1836,exact
Jyotiba Phule Nagar,Gangeshwari,Amroha,Gangeshwari,1837,exact
Jyotiba Phule Nagar,Hasanpur,Amroha,Hasanpur,1838,exact
Jyotiba Phule Nagar,Joya,Amroha,Joya,1839,exact
Kannauj,Chhibramau,Kannauj,Chhibramau,1840,exact
Kannauj,Gugapur,Kannauj,Gughrapur,1841,spelling
Kannauj,Haseran,Kannauj,Haseran,1842,exact
Kannauj,Jalalabad,Kannauj,Jalalabad,1843,exact
Kannauj,Kannauj,Kannauj,Kannauj,1844,exact
Kannauj,Saurkh,Kannauj,Saurikh,1845,spelling
Kannauj,Talam,Kannauj,Talgram,1846,spelling
Kannauj,Umarda,Kannauj,Umarda,1847,exact
Kanpur Nagar,Bhitar Gaon,Kanpur Nagar,Bhitargaon,1858,spelling
Kanpur Nagar,Bilhaur,Kanpur Nagar,Bilhaur,1859,exact
Kanpur Nagar,Chaubepur,Kanpur Nagar,Chaubeypur,1860,spelling
Kanpur Nagar,Ghatampur,Kanpur Nagar,Ghatampur,1861,exact
Kanpur Nagar,Kakwan,Kanpur Nagar,Kakwan,1862,exact
Kanpur Nagar,Kalyanpur,Kanpur Nagar,Kalyanpur,1863,exact
Kanpur Nagar,Patara,Kanpur Nagar,Patara,1864,exact
Kanpur Nagar,Sarasaul,Kanpur Nagar,Sarsol,1865,spelling
Kanpur Nagar,Shivrajpur,Kanpur Nagar,Shivrajpur,1866,exact
Kanpur Nagar,Vidhnu,Kanpur Nagar,Vidhunu,1867,spelling
Kaushambi,Chayal,Kaushambi,Chail,1868,spelling
Kaushambi,Kara,Kaushambi,Kara,1869,exact
Kaushambi,Kaushambi,Kaushambi,Kaushambi,1870,exact
Kaushambi,Manjhanpur,Kaushambi,Manjhanpur,1871,exact
Kaushambi,Muratganj,Kaushambi,Mooratganj,1872,spelling
Kaushambi,NEWADA,Kaushambi,Nevada,1873,spelling
Kaushambi,Sarsawa,Kaushambi,Sarsawan,1874,spelling
Kaushambi,Sirathu,Kaushambi,Sirathu,1875,exact
Kushinagar,Fazilnagar,Kushi Nagar,Fazilnagar,1892,exact
Kushinagar,Hata,Kushi Nagar,Hata,1893,exact
Kushinagar,Kaptaiganj,Kushi Nagar,Kaptainganj,1894,spelling
Kushinagar,Kasaya,Kushi Nagar,Kasaya,1895,exact
Kushinagar,Khadda,Kushi Nagar,Khadda,1896,exact
Kushinagar,Moti Chak,Kushi Nagar,Motichak,1897,spelling
Kushinagar,Nebua Naurangia,Kushi Nagar,Nebua Naurangia,1898,exact
Kushinagar,Padrauna,Kushi Nagar,Padrauna,1899,exact
Kushinagar,Ramkola,Kushi Nagar,Ramkola,1900,exact
Kushinagar,Sewarhi,Kushi Nagar,Seorahi,1901,spelling
Kushinagar,Sukaroli,Kushi Nagar,Sukrauli,1902,spelling
Kushinagar,Tamkuhiraj,Kushi Nagar,Tamkuhiraj,1903,exact
Kushinagar,Vishunpura,Kushi Nagar,Vishunpura,1904,exact
Lakhimpur Khiri,Bankeganj,Kheri,Bankeyganj,1876,spelling
Lakhimpur Khiri,Behjam Devi,Kheri,Behjam,1877,spelling
Lakhimpur Khiri,Bijua,Kheri,Bijuwa,1878,spelling
Lakhimpur Khiri,Dhaurhara,Kheri,Dhaurhara,1879,exact
Lakhimpur Khiri,Gola (Kumbhi),Kheri,Kumbhigola,1881,spelling
Lakhimpur Khiri,Isanagar,Kheri,Isanagar,1880,exact
Lakhimpur Khiri,Lakhimpur,Kheri,Lakhimpur,1882,exact
Lakhimpur Khiri,Mitauli,Kheri,Mitauli,1883,exact
Lakhimpur Khiri,Mohammadi,Kheri,Mohammadi,1884,exact
Lakhimpur Khiri,Nakha,Kheri,Nakaha,1885,spelling
Lakhimpur Khiri,Nighasan,Kheri,Nighasan,1886,exact
Lakhimpur Khiri,Palia,Kheri,Palia,1887,exact
Lakhimpur Khiri,Pasgawan,Kheri,Pasgawan,1888,exact
Lakhimpur Khiri,Phoolbehad,Kheri,Phoolbehar,1889,spelling
Lakhimpur Khiri,Ramiyabehar,Kheri,Ramia Behar,1890,spelling
Lalitpur,Baar,Lalitpur,Bar,1905,spelling
