hindi,eng
उतरौला,Utraula
रेहरा बाजार,Rehra Bazar
तुलसीपुर,Tulsipur
हरैया सतघरवा,Hariya Satgharwa
हलधरमऊ,Haldharmau
परसपुर,ParasPur
मनकापुर,Mankapur
बेलसर,Belsar
कटरा बाजार,Katra Bazar
पण्डरी कृपाल,Pandri Kripal
छपिया,Chhapia
झंझरी,Jhanjhari
मुजेहना,Mujehna
तरबगंज,Tarabganj
इटियाथोक,Itiyathok
करनैलगंज,Karnailganj
बभनजोत,Babhanjot
रूपईडीह,Rupaidiha
सूरतगंज,Suratganj
फतेहपुर,Fatehpur
निन्दूरा,Nindura
मसौली,Masoli
बंकी,Banki
देवां,Dewa
हरख,Harkh
दरियाबाद,Dariyabad
बनीकोडर,Banikodar
हैदरगढ़,Haidergarh
त्रिवेदीगंज,Trivediganj
सिद्धौर,Siddhaur
अखण्डनगर,Akhanda Nagar
बल्दीराय,Baldi Rai
भदैया,Bhadaiya
धनपत गंज,Dhanpatganj
दोस्तपुर,Dostpur
दूबेपुर,Doobepur
जयसिंहपुर,Jaisinghpur
कादीपुर,Kadipur
कुडवार,Kudwar
कुडेभार,Kudebhar
लम्बुआ,Lambhua
प्रतापपुरकमैचा,Pratappur Kemaicha
मोतिगरपुर,Motigarpur
करौंदीकला,Karaudi Kalan
कटेहरी,Katehri
जलालपुर,Jalalpur
टाण्डा,Tanda
भीटी,Bhiti
बसखारी,Baskhari
जहांगीरगंज,Jahangirganj
मियांव,Miyawn
मसौधा,Masodha
पूराबाजार,Purabazar
सोहावल,Sohawal
मायाबाजार,Mayabazar
बीकापुर,Bikapur
तारून,Taroon
हरिंग्टनगंज,Haringtonganj
अमानीगंज,Amaniganj
मिल्कीपुर,Milkipur
रूदौली,Rudauli
मवई,Mawai
हरैया,Hariyya
साऊँघाट,Saugahat
बिक्रमजोत,Bikramjot
रूधौली,Rudhauli
कप्तानगंज,Kaptanganj
बनकटी,Bankati
गौर,Gaur
परसरामपुर,ParsaraMpur
बस्ती,Basti
कुदरहा,Kudaraha
दुबौलिया,Dubauliya
काकोरी,Kakori
सिधौली,Sidhauli
मिश्रिख,Mishrikh
सकरन,Sakaran
29 रामपुरमथुरा,29 Rampur Mathura
38 रामपुरमथुरा,38 Rampur Mathura
40 रामपुरमथुरा,40 Rampur Mathura
41 रामपुरमथुरा,41 Rampur Mathura
47 रामपुरमथुरा,47 Rampur Mathura
62 रामपुरमथुरा,62 Rampur Mathura
64 रामपुरमथुरा,64 Rampur Mathura
71 रामपुरमथुरा,71 Rampur Mathura
बेहटा,Behta
ऐलिया,Ailia
हरगांव,Hargaon
लहरपुर,Laharpur
खैराबाद,Khairabad
गोंदलामऊ,Gondlamau
बिसवाँ,Biswan
मछरेहटा,Machhrehta
कसमण्डा,Kasmanda
पहला,Pahla
महमूदाबाद,Mahmudabad
परसेंण्डी,Parsendi
महोली,Maholi
पिसावाँ,Pisawan
लखीमपुर,Lakhimpur
बेहजम देवी,Behjam Devi
फूलबेहड़,Phoolbehad
गोला (कुम्भी ),Gola (Kumbhi)
बिजुआ,Bijua
बांकेगंज,Bankeganj
मोहम्मदी,Mohammadi
मितौली,Mitauli
पसगवां,Pasgawan
धौरहरा,Dhaurahra
पलिया,Palia
निघासन,Nighasan
ईसानगर,Isanagar
रमियाबेहड़,Ramiabehad
अमेठी,Amethi
बाजार शुक्ल,Bazar Shukl
भादर,Bhadar
गौरीगंज,Gauriganj
जामों,Jamo
जगदीशपुर,Jagdishpur
भेटुआ,Bhetua
मुसाफिरखाना,Musafirkhana
संग्रामपुर,Sangrampur
शाहगढ,Shahgarh
तिलोई,Tiloi
छतोह,Chhatoh
डीह,Deeha
सलोन,Salon
सिंहपुर,Singhpur
जरवल,Jarwal
कैसरगंज,Kaiserganj
हुजूरपुर,Huzoorpur
तजवापुर,Tajwapur
बलहा,Balha
महसी,Mahsi
शिवपुर,Shivpur
मिहीपुरवा,Mihipurwa
चित्तौरा,Chittaura
रिसिया,Risia
पयागपुर,Payagpur
विशेश्वरगंज,Visheshwarganj
गिलौला,Gilaula
सिरसिया,Sirsia
हरिहरपुर रानी,Hariharpur Rani
जमुनहा,Jamunaha
इकौना,Ikauna
बलरामपुर,Balrampur
गैंसडी,Gainsari
पचपेडवा,Pachpedwa
गैडास बुजुर्ग,Gaidas Buzurg
श्रीदत्तगंज,Shridattganj
उतरौला,Utraula
रेहरा बाजार,Rehra Bazar
तुलसीपुर,Tulsipur
हरैया सतघरवा,Hariya Satgharwa
हलधरमऊ,Haldharmau
परसपुर,ParasPur
मनकापुर,Mankapur
बेलसर,Belsar
कटरा बाजार,Katra Bazar
पण्डरी कृपाल,Pandri Kripal
छपिया,Chhapia
झंझरी,Jhanjhari
मुजेहना,Mujehna
तरबगंज,Tarabganj
इटियाथोक,Itiyathok
करनैलगंज,Karnailganj
बभनजोत,Babhanjot
रूपईडीह,Rupaidiha
सूरतगंज,Suratganj
फतेहपुर,Fatehpur
निन्दूरा,Nindura
मसौली,Masoli
बंकी,Banki
देवां,Dewa
हरख,Harkh
दरियाबाद,Dariyabad
बनीकोडर,Banikodar
हैदरगढ़,Haidergarh
त्रिवेदीगंज,Trivediganj
सिद्धौर,Siddhaur
अखण्डनगर,Akhanda Nagar
बल्दीराय,Baldi Rai
भदैया,Bhadaiya
धनपत गंज,Dhanpatganj
दोस्तपुर,Dostpur
दूबेपुर,Doobepur
जयसिंहपुर,Jaisinghpur
कादीपुर,Kadipur
कुडवार,Kudwar
कुडेभार,Kudebhar
लम्बुआ,Lambhua
प्रतापपुरकमैचा,Pratappur Kemaicha
मोतिगरपुर,Motigarpur
करौंदीकला,Karaudi Kalan
कटेहरी,Katehri
जलालपुर,Jalalpur
टाण्डा,Tanda
भीटी,Bhiti
बसखारी,Baskhari
जहांगीरगंज,Jahangirganj
मियांव,Miyawn
मसौधा,Masodha
पूराबाजार,Purabazar
सोहावल,Sohawal
मायाबाजार,Mayabazar
बीकापुर,Bikapur
तारून,Taroon
हरिंग्टनगंज,Haringtonganj
अमानीगंज,Amaniganj
मिल्कीपुर,Milkipur
रूदौली,Rudauli
मवई,Mawai
हरैया,Hariyya
साऊँघाट,Saugahat
बिक्रमजोत,Bikramjot
रूधौली,Rudhauli
कप्तानगंज,Kaptanganj
बनकटी,Bankati
गौर,Gaur
परसरामपुर,ParsaraMpur
बस्ती,Basti
कुदरहा,Kudaraha
दुबौलिया,Dubauliya
विरनो,Virano
सकलडीहा,Sakaldeeha
चन्दौली,Chandauli
बरहनी,Barhani
नियमताबाद,Niyamtabad
चकिया,Chakiya
चहनियां,Chahniya
धानापुर,Dhanapur
शाहाबगंज,Shahababganj
सेवापुरी,Sewapuri
चिरईगांव,Chiraigaon
आराजी लाइन्स,Araji Lines
पिण्ड्रा,Pindra
चोलापुर,Cholapur
काशीविद्यापीठ,Kashividyapeeth
हरहुआ,Harhua
जौनपुर,Jaunpur
बदलापुर,Badlapur
रामपुर,Rampur
मुफ्तीगंज,Muftiganj
डोभी,Dobhi
सिकरारा,Sikarara
मडियाहू,Madiyahu
सुजानगंज,Sujanganj
केराकत,Kerakat
सुइथा कला,Suitha Kala
खुटहन,Khuthan
बरसठी,Barsathi
बक्शा,Baksha
करन्जा कला,Karanja Kala
मछलीशहर,Machhalishahr
मुगराबादशाहपुर,Mugrabadshahapur
ज्ञानपुर,Gyanpur
औराई,Aurai
डीघ,Deegh
सुरियांवां,Suriyawan
भदोही,Bhadohi
अभोली,Abholi
सीटी,Seeti
कोन (चील्ह),Kon (Cheelha)
सीखड़,Seekhar
जमालपुर,Jamalpur
मझवां,Majhwan
हलिया,Haliya
छानबे,Chhaanbe
राजगढ़,Rajgadh
पटेहरा कलॉ,Patehara Kala
नगवाँ,Nagwan
दुद्धी,Duddhi
चोपन,Chopan
राबट्र्सगंज,Robertsganj
घोरावल,Ghorawal
चतरा,Chatra
म्योरपुर,Myorpur
वभनी,Vabhni
25 रामपुरमथुरा,25 Rampur Mathura
17 रामपुरमथुरा,17 Rampur Mathura
49 रामपुरमथुरा,49 Rampur Mathura
सरदारनगर,Sardarnagar
कैराना,Kairana
भदपुरा,Bhadpura
जुनावई,Junavi
जसराना,Jasrana
23 रामपुरमथुरा,23 Rampur Mathura
32 रामपुरमथुरा,32 Rampur Mathura
33 रामपुरमथुरा,33 Rampur Mathura
51 रामपुरमथुरा,51 Rampur Mathura
55 रामपुरमथुरा,55 Rampur Mathura
57 रामपुरमथुरा,57 Rampur Mathura
63 रामपुरमथुरा,63 Rampur Mathura
65 रामपुरमथुरा,65 Rampur Mathura
67 रामपुरमथुरा,67 Rampur Mathura
पूरेडलई,Puredlai
वर्डपुर न 12,Vardpur No. 12
वर्डपुर न 26,Vardpur No. 26
वर्डपुर न 27,Vardpur No. 27
वर्डपुर न 28,Vardpur No. 28
वर्डपुर न 30,Vardpur No. 30
वर्डपुर न 31,Vardpur No. 31
वर्डपुर न 36,Vardpur No. 36
वर्डपुर न 38,Vardpur No. 38
वर्डपुर न 39,Vardpur No. 39
कोपागंज,Kopaganj
नरायनपुर,Narayanpur
24 रामपुरमथुरा,24 Rampur Mathura
31 रामपुरमथुरा,31 Rampur Mathura
73 रामपुरमथुरा,73 Rampur Mathura
मेरठ,Meerut
22 रामपुरमथुरा,22 Rampur Mathura
28 रामपुरमथुरा,28 Rampur Mathura
39 रामपुरमथुरा,39 Rampur Mathura
52 रामपुरमथुरा,52 Rampur Mathura
53 रामपुरमथुरा,53 Rampur Mathura
56 रामपुरमथुरा,56 Rampur Mathura
सल्टौआ गोपालपुर,Saltaua Gopalpur
वर्डपुर न 17,Vardpur No. 17
वर्डपुर न 34,Vardpur No. 34
वर्डपुर न 37,Vardpur No. 37
16 रामपुरमथुरा,16 Rampur Mathura
60 रामपुरमथुरा,60 Rampur Mathura
वर्डपुर न 41,Vardpur No. 41
50 रामपुरमथुरा,50 Rampur Mathura
68 रामपुरमथुरा,68 Rampur Mathura
58 रामपुरमथुरा,58 Rampur Mathura
वर्डपुर न 42,Vardpur No. 42
18 रामपुरमथुरा,18 Rampur Mathura
14 रामपुरमथुरा,14 Rampur Mathura
15 रामपुरमथुरा,15 Rampur Mathura
19 रामपुरमथुरा,19 Rampur Mathura
26 रामपुरमथुरा,26 Rampur Mathura
36 रामपुरमथुरा,36 Rampur Mathura
37 रामपुरमथुरा,37 Rampur Mathura
69 रामपुरमथुरा,69 Rampur Mathura
70 रामपुरमथुरा,70 Rampur Mathura
74 रामपुरमथुरा,74 Rampur Mathura
वर्डपुर न 18,Vardpur No. 18
वर्डपुर न 19,Vardpur No. 19
वर्डपुर न 21,Vardpur No. 21
वर्डपुर न 22,Vardpur No. 22
जमुनहा, Jamunha
चौबेपुर, Chaubepur
हिलौली, Hilauli
गौर, Gaur
सठियाव, Sathiyav
अमांपुर, Amanpur
सिरौलीगौसपुर, Sirauli Gauspur
तिलोई, Tiloi
गंजडुण्डवारा, Ganj Dundwara
श्रीदत्तगंज, Shridattganj
कोपागंज, Kopaganj
असमोली, Asamoli
असोथर, Asothar
असोहा, Asoha
बामौर, Bamaur
बिसौली, Bisauli
तरवां, Tarwan
बेलसर, Belsar
नाम भादर, Naam Bhadaur
नारखी, Narkhi
निचलौल, Nichlaul
फतेहपुर चौरासी, Fatehpur Chaurasi
पहला, Pahala
दोस्तपुर, Doastpur
बलरामपुर, Balrampur
बिहार, Bihar
पटियाली, Patiyali
पचपेडवा, Pachpedwa
गोंदलामऊ, Gondlamau
हरपालपुर, Harpalpur
चतरा, Chatra
हरख, Harakh
खैराबाद, Khairabad
बेहजम, Behjam
इकौना, Ikaunah
बेहटा, Behta
दरियाबाद, Dariyabad
चौमुहाँ, Chaumuhan
मसौली, Masauli
मोहम्मदी, Mohammadi
बढ़नी, Badhni
जगदीशपुर, Jagdishpur
अकराबाद, Akrabad
बिक्रमजोत, Bikramjot
कदौरा, Kadaura
कुदरहा, Kudraaha
छानबे, Chhaanbe
खेसरहा, Khesarha
सूरतगंज, Suratganj
निन्दूरा, Nindaura
सिढ़पुरा, Siddhapura
त्रिवेदीगंज, Trivediganj
वण्डा, Wanda
पिपराइच, Pipraich
फतेहगंज ( प O ), Fatehganj ( P O )
रामनगर, Ramnagar
महमूदाबाद, Mahmoodabad
महरौनी, Mahrauni
अगौता, Agauta
सिद्धौर, Siddhaur
परसरामपुर, Parsrampur
हरिंग्टनगंज, Haringtonganj
पूरेडलई, Puredlai
देवां, Dewan
पसगवां, Pasagwan
गोंडा, Gonda
नन्दगाँव, Nandgaon
भावलखेड़ा, Bhavlakheda
चमरख्वा, Chamrakhwa
महेवा, Maheva
माधौगंज, Madhauganj
सण्डीला, Sandila
भोजीपुरा, Bhojipura
रामपुरमथुरा, Rampurmathoura
रेवतीपुर, Rewatipur
सांगीपुर, Sangipur
ऐलिया, Ailiya
हसायन, Hasayan
लालगंज, Lalgang
भटहट, Bhathat
बॉसगॉव, Bosagaon
जसवंत नगर, Jaswantnagar
रूपईडीह, Rupaidih
मसौधा, Masaudha
अकबरपुर, Akbarpur
पंवासा, Panwasa
जानी खुर्द, Jani Khurd
करछना, Karachna
भदैया, Bhadaiya
रानीपुर, Ranipur
मुफ्तीगंज, Muftiganj
नवाबगंज, Nawabganj
कादीपुर, Kadipur
जवां, Jawan
अलीगंज, Aliganj
परतावल, Partaval
केराकत, Kerakat
हरगांव, Hargaon
सहावर, Sahavar
मेजा, Meja
अमौली, Amauli
झींझक, Jhijhak
संग्रामपुर, Sangrampur
बिजुआ, Bijua
बड़ागांव, Badagaon
देवबन्द, Devbanda
कोरॉव, Koraon
टाण्डा, Tanda
पिनाहाट, Pinahat
बल्दीराय, Baldirai
उरूवॉ, Uruvaon
निगोंही, Nigonhi
कौशाम्बी, Kaushambi
हथगाम, Hathgaam
