Name,Transliterated
 नौरंगपुर,Naorangpur
 बिछुरैया सिरसा,Bichuraiya Sirsa
 गैनी,Gaini
 रम्पुरा भौपत नगर,Rampura Bhaupat Nagar
 शहवाजपुर,Shahbazpur
 कल्यानपुर हैवत पुर,Kalyanpur Haiwat Pur
 किशनपुर,Kishanpur
 गोठा खन्डुंआ,Gotha Khandua
 मझौआ,Mazhua
 मनौना,Manouna
 बौनी,Bauni
  मानपुर बीसलपुर,Manpur Bisalpur
 रामपुर बसंत,Rampur Basant
 बिथरा,Bithra
   बेहरी,Behri
   नगरिया कालोनी,Nagariya Colony
   पकड़िया नौगवां,Pakradia Naugawan
 डंगा,Danga
 पुरैना ता O महाराजपुर,Puraina Ta O Maharajpur
 गमिया सहराई,Gamiya Sahrai
 नौजल्हा नकटहा,Naujhalla Nakatha
 सण्डई,Sundai
".,  ",".,  "
   रावतपुर,Rawatpur
   कौढा,Kauda
   मल्हपुर,Malhpur
   उमराह,Umrah
   कुर्रिया कलां,Kurriya Kalan
 गड़चपा,Gadchapa
 अजीजपुर ता ० रझौआ,Azizpur Ta 0 Rajhua
 आटाखुर्द,Atakhurd
 भुडिया भूड़,Bhudia Bhud
 ककराला,Kakrala
 भटादेवर,Bhatadevar
 इमिलिया बुजुर्ग,Emilia Bujurg
 शुक्लामई,Shukla Mai
 खन्डहर,Khandhar
 मोहम्मदपुर गुलड़िया,Mohammadpur Guldiya
 मदुरा,Madura
 अस्तोली,Astoli
 मझाराबढ़ऊ,Mazhara Barhua
 चाँदा,Chanda
   उदरा टिकरी,Udra Tikri
गहलुइया,Gahaluiya
टुकुरी बुजुर्ग,Tukri Bujurg
हेतम नगला,Hetam Nagla
ढकना लहिया,Dhakna Lahiya
गढ़िया सरेली,Garhiya Sareli
मलिका,Malika
खंडसार,Khandsahar
मोहनपुर,Mohanpur
सिल्हुआ,Silhua
कैहमारिया मतलूकपुर,Kaihmariya Matlukpur
कोल्हूगाढ़ा,Koluhgaadha
हरिहरपुर,Hariharpur
बिलसड़ी बुजुर्ग,Bilasdi Bujurg
सुनारा बुजुर्ग,Sunara Bujurg
नवादा दरोवस्त,Nawada Darowast
चरखौला,Charkhaula
फुलवा,Fulwa
कमालपुर उर्फ वख्ताव,Kamalpur Urf Bakhtav
जलालपुर,Jalalpur
ऊनकला,Unkala
कुकहा महमूदपुर,Kukha Mahmudpur
खिरिया,Khiriya
खेड़ा सण्ड़ा,Kheda Sanda
चमरूआ,Chamarua
जठिउरा,Jathiura
ढकिया तिवारी,Dhakiya Tiwari
वसारी,Vasari
विक्रमपुर चकौरा,Vikrampur Chaukora
पलिया पट्टी,Paliya Patti
फीलनगर,Filnagar
मलगांव,Malgaon
सुरसैना,Sursena
हतरा,Hatra
निजामपुर,Nijampur
मनवा,Manwa
दूंगो,Dungo
कतगांव,Katgaon
उदयपुर,Udaypur
वरीपुरा,Varipura
दिसौलीगंज,Disauliganj
अतरपुरा,Atarapura
सैडोली,Saidoli
अंगथरा,Angathara
तारापुर,Tarapur
स्वरूपपुर,Swaruppur
फीरोजपुर,Firozpur
भवीपुर,Bhavipura
शेखुपुरा,Shekhupura
भानपुर,Bhanpur
छिवऊकंला,Chivukala
चितरी,Chitari
गूरा बरेला,Gura Barela
सिरासौल कुवँरसहाय,Sira saul Kuwarshay
वनवेहटा,Wanwehta
बैरमई खुर्द,Bairamai Khurd
खौसारा,Kausara
वसावनपुर,Wasawanpur
रफातपुर,Rafatpur
नगला बाराह,Nagla Barah
बुद्धनगर,Buddhanagar
समदनगर,Samadnagar
व्योर कासिमावाद,Vyor Kasimawad
चौडेरा,Chaudera
मौसमपुर,Mausampur
कुढ़ाशाहपुर,Kudashahpur
संजरपुर बालजीत,Sanjarpur Baljeet
कठौली,Kathauli
बरामयखेड़ा,Baramaikheda
नूरपुर,Nurpur
सादुलाागंज,Sadulaaganj
सिसैइया गुसाई,Sisaiya Gusai
सिरसा,Sirsa
चन्दौरा,Chandaura
गु ० दौलतखाँ,Gu 0 Daulat Khan
वाघऊ,Waghu
दीपपुर डाँडा,Deepur Danda
मैसरोली,Mairoli
सिसरका,Sisarka
पिपरिया,Pipariya
जौनेरा,Jaunera
मुड़सान,Mudsan
नरूपुरा कटका,Narupura Katka
दीनापुर,Dinapur
टोडरपुर,Todarpur
प्यावली,Pyawali
कंचनपुर,Kanchanpur
न ० अलिया,N 0 Aliya
दताचोली बुजुर्ग,Datacholi Buzurg
मउपुर भाउपुर,Maupur Bhaupur
छौगवां,Chaugwan
भमोरी खुर्द,Bhamori Khurd
मुजफ्फरा,Muzaffra
बालनपुर,Balnapur
नागल खुर्द,Nagal Khurd
बाजौता,Bajuota
खण्डेहा,Khandeha
खेड़िया खुर्द,Khediya Khurd
नरवारी,Narwari
स्यारौल,Syarol
टप्पल,Tappal
कंसेरा,Kansera
सहरोई,Saroi
ऐंचना,Ainchna
फतेहगढ़ी,Fatehgadi
रायट,Rai
मथना,Mathna
मदनपुर,Madanpur
अण्डला,Andla
मगोला,Magola
गौदोली,Gaudoli
बिलखौरा,Bilkhaura
चमन नंगरिया,Chaman Nangaria
नायल,Nayal
बिरौला,Birola
कसीसौ,Kasiso
भरतपुर,Bharatpur
लालपुर,Lalpur
व्यौहरा,Vyohra
खेडिया गुरूदेव,Khedia Gurudev
सिकुर्रा,Sikurra
तेहरा,Tehra
न ० मोहन नहचला,N 0 Mohan Nahchla
अगोरना,Agorna
अर्निया ख्वाजा राजू,Arnia Khwaja Raju
कैमावली,Kaimawali
टीकापुर,Tikapur
सतलौनी कलॉ,Satlouni Kalan
गॉधी ग्राम,Gandhi Gram
जवार,Jwar
भटौला,Bhatola
शाहजहाँपुर ताजपुर,Shahjahanpur Tajpur
बहरामपुर,Bahrampur
जलूपुर सिहौर,Jalupur Sihtaur
रोहिना सिंहपुर,Rohina Singhpur
बरानदी,Barandi
छिड़ावली,Chhidavali
हरदुआगंज देहात,Harduaganj Dehat
गुरूसिकरन,Guru Sikaran
आलमपुर कायस्थान,Alampur Kayasthaan
उस्मानपुर,Usmanpur
सूरतगढ़,Suratgarh
चालाकपुर,Chalakpur
राजमार्गपुर,Rajmargpu
कलियानपुर रानी,Kalyanpur Rani
अहमदपुरा,Ahmadpura
गभाना,Ghabana
ओगर न  राजू,Ogar N Raju
जखौता,Jakhauta
महाराजपुर,Maharajpur
करनपुर,Karanpur
भीमपुरखैमपुर,Bhimpurkhaimpura
खिजरपुर,Khijarpura
वीरपुरा,Virpura
नगला अस्सू,Nagla Assu
इमलहरा,Imlahra
चीमनपुर रामनगर,Chimanpur Ramnagar
ओगीपुर,Ozipur
नवावपुर,Nawabpur
सोमना,Somna
बधियार,Badhiyar
भटोली,Bhatoli
नगला बरी,Nagla Bari
खुर्रमपुर,Khurrampur
गोपी,Gopi
लधौआ,Ladhoa
अहक,Ahak
न ० कैशो,N 0 Kaishor
मिर्जापुर,Mirzapur
लाड़पुर,Ladpur
सिथरौली,Sitharoli
सोखना,Sokhna
फरौली,Farauli
खोरना,Khorna
शाहपुर खुर्द,Shahpur Khurd
रूहेरी,Ruheri
किन्दौली,Kindauli
जगीपुर,Jagipur
बरतरखास,Bartarkhas
गढीतमना,Gadhitmana
वैदई,Vaidai
बहादुर पुर भूप,Bahadur Pur Bhup
छावा,Chhawa
पिपरामई,Piparamai
जटोई,Jatoi
गहचौली,Gahchauli
सलहपुर चंदवारा,Salahpur Chandwara
कुकरगंवा,Kukargava
चौवारा,Chauwara
सेदरिया,Sederiya
हसनपुर वारू,Hasanpur Waru
बड़ौता,Baraota
राल,Ral
सतोहा असगरपुर,Satoha Asgarpur
सींह,Singh
गांठौली,Ganthauli
आन्यौर,Anyor
सकरवा,Sakarwa
पैंठा,Paintha
बन्दी,Bandi
रावल वांगर,Rawal Wanger
कोह,Koh
पिपरौठ,Piparauth
खेडिया,Khedia
भुडरसू,Bhudersu
छड़गांव,Chhadgaon
बरौदा मशरकपुर,Barauda Mashrakpur
रौशू जलाल,Raushu Jalal
पींगरी,Pingri
भाहई,Bhahai
अगरयाला,Agaryala
अहूरी,Ahuri
आझई खुर्द,Aazhai Khurd
सहार,Sahar
स्यारहा,Syarha
खैराल,Khairal
शेरनगर,Shernagar
बरका,Barkha
ऊँचागॉव,Unchagaon
गढी बरवारी,Garhi Barwari
चिकसौली,Chiksauli
संकेत,Sanket
हाथिया,Hathiya
भद्रवन,Bhadrawan
मांट राजा,Maant Raja
इरौली जुन्नारदार,Iroli Junnardar
बाघर्रा,Bagharra
नौहझील,Nauhjeel
भूडासानी,Bhudasani
नगलामनी,Naglamani
भीकनपुर,Bhiknapur
बांधनू,Bandhanu
आंबलखेड़ा,Ambalkheda
चौकड़ा,Chaukda
सेंवरा,Sevra
उस्मानपुर,Usmanpur
खड़िया,Khadiya
बेलोठ,Beloth
रामनगर,Ramnagar
जारू आकटरा,Jaru Akatra
सदरबन,Sadarban
गुतिला,Gutila
सलैमाबाद,Salaimabad
बहेटा,Baheta
दौलतावाद,Daultabad
कोरई,Korei
सांथा,Santha
मगूरा,Magura
महुअर,Mahuar
नगला दूल्हेखां,Nagla Dulhekhaan
डाण्डा,Danda
सरेण्डा,Sarrenda
सालेहनगर,Salehnagar
चीत,Cheet
मिलावली,Milawali
बुरहरा,Burhara
भाकर,Bhakar
सोन,Son
गोरूऊ,Goruu
सितौली,Sitauli
अयेला,Aaila
दनकशा,Danaksha
बसईखेरागढ़,Basai Kheragarh
बिधौली,Bidhauli
मेवली,Mewli
दहगवां,Dahagawan
पिपरेठा,Pipartha
नयागांव,Nayagaon
बाधहौर,Badhahor
बसई जगनेर,Basai Jagner
चितौरा,Chitoura
ऊँचा,Uncha
भनपुरा,Bhanpura
सुडरई,Sudrai
धनौलाकला,Dhaula Kala
रोहईखास,Rohaikhas
गुढ़ा,Gudha
पावसर,Pawasar
मुटनई,Mutani
वाकलपुर,Wakalpur
शेखूपुर,Shekhupur
मुटाबई,Mutabey
सिधावली,Sidhavali
सुंसार,Sunsar
कलिंजर,Kalinjar
फरैरा,Faraira
नरहौली,Naraholi
पार्वतीपुरा,Parvatipura
जरार,Jajar
भदरौली,Bhadauli
रामपुर चन्द्रसैनी,Rampur Chandraseni
गोपालपुरा,Gopalpura
मनौना,Manona
चचिहा,Chachiha
क्यौरी,Kyauri
उदयपुर कलां,Udaipur Kalan
महुआशाला,Mahua Sala
अमाही,Amahi
नौगंवा,Nogawan
बड़ागांव,Baragaon
रीछापुरा,Richhapura
शाहपुर गूजर,Shahpur Gujar
मुकुटपुरा,Mukutpura
वामई,Vamai
नगला सिकन्दर,Nagla Sikandar
कातिकी,Katiki
तिलयानी,Tilaiyani
आमौर नं  जीवन,Amaur Na  Jeevan
वासुदेवमई,Vasudevmai
नगलामुल्ला,Naglamulla
नगला दल,Nagla Dal
मितावली,Mitaavli
सिकन्दरपुर,Sikandarpur
करीमगंज,Karimganj
सैदपुर बघौली,Saidpur Bhagauli
नसीरपुर,Nasirpur
तिमनपुर,Timampur
सहादतपुर,Sahadatpur
अशोकपुर खिचौली,Ashokpur Khichauli
सिढ़पुरा,Sidhpura
छबीलेपुर,Chabilepur
शिवसिंहपुर,Shivsinghpur
जासमई,Jasmai
हिन्दूपुर,Hindpur
मेरापुर गुजराती,Merapur Gujarati
बिछवां,Bichhwan
न  जैतूलपुर,Na  Jaitulpur
शंकरपुर,Shankarpur
पतारा,Patara
टिकरई,Tikrai
मीठेपुर,Mithaipur
नौरमई,Naurmaayi
गादुरी,Gaduri
जमालपुर गादुरी,Jamalpur Gaduri
पुन्हैरा,Punhaira
मकसूदपुर,Maksudpur
जीसुखपुर,Jisukhpura
खिरिया खवा,Khiria Khava
जागपुरा,Jagpura
मिहुता,Mihuta
ढटीगरा,Dhatigara
बनी,Bani
उभई असदनगर,Ubbai Asadnagar
तमरौरा,Tamrora
खरसुलिया,Kharsuliya
कलुआ टीलपुर,Kaluaa Tilpur
द्विवरौय्या,Divarauyya
औरंगाबाद,Aurangabaad
ताजपुर तिगरा,Tajpur Tigra
दहेली बुजुर्ग,Daheli Bujurg
कल्यानपुर,Kalyanpur
करसाना,Karsana
कोडरा,Kodra
फतनपुर,Fatanpur
साहवगंज,Sahawganj
कटरा रहमत खां,Katara Rahmat Khan
हमीरपुर खास,Hamirpur Khas
गिर्द कायमगंज,Gird Kayamganj
बहवलपुर,Bahwalpur
जिजौटा बुजुर्ग,Jijauta Bujurg
पहाड़पुर,Pahadpur
खुटिया,Khutia
कड़हर,Kadhar
कुम्हरौर,Kumhraur
पपड़ी खुर्द बुजुर्ग,Papdi Khurd Bujurg
फरीदपुर सैदवाड़ा,Faridpur Saidwara
दुबरी,Dubri
भडौसा,Bhadaunsa
ईशापुर,Ishapur
इसी,Isi
बहोरिकपुर,Bahorikpur
नगलाभीखा,Naglabhika
पंतौजा,Pantoja
ताजपुर,Tajpur
कमालपुर,Kamalpur
गनपतपुर बढ़नपुर,Ganpatpur Badhanpur
बरखिरिया,Barkhiria
बनकटी,Bankati
भटकुर्री,Bhatkuri
नदसा,Nadsa
करनपुर मजरा ज्योंता,Karanpur Majra Jyota
सतौरा,Satora
गांगेमऊ,Gangemau
बेहरिन,Behrin
रजईमऊराजा,Rajimauraja
जसौली,Jasoli
वसीरापुर भाट,Wasirapur Bhat
अतिराजपुर,Atiraipur
कपूरपुर,Kapoorpur
जगतपुर,Jagatpur
पंथरा,Panthra
नन्दलालपुर,Nandlalpur
कसावा,Kasawa
मुखड़ा,Mukhada
गुरौली,Gurauli
खानपुर,Khanpur
दिसरापुर,Disrapur
बहोसी,Bahosi
नान्हेपुर,Nanhepur
रूरा,Rura
निस्तौली,Nistauli
सकतपुर,Sakaturpur
हसेरन,Haseran
नादेमऊ,Nademau
किशनपुर वसन्त,Kishanpur Basant
फूलपुर,Phoolpur
सौंसरापुर,Sauansrapur
पर्थरा,Parthara
कुन्दौल,Kundol
गनियावर,Ganiawar
तेजपुरा,Tezapura
कोला,Kola
पिपरौली गढ़िया,Piperoli Garhia
वंसरी,Vansari
बिहार,Bihar
सिन्डौस,Sindous
नगलासुभान,Naglasubhan
विरौंधी,Viraundhi
भरतपुर खुर्द,Bharatpur Khurd
बदकनशाहपुर,Badakanshahpur
वछरोई,Bacharoi
रतहरी,Ratahari
रौरा,Raura
सराय भगत,Sarai Bhagat
पुरामुरौंग,Purmuraong
बुलाकीपुर लुहन्ना,Bulakippur Luhanna
मोहनपुर राहिन,Mohanpur Rahin
जगमोहनपुर,Jagmohanpur
निवाडी कला,Niwadi Kala
इन्द्राउखी,Indraukhi
नगला हिरमी,Nagla Hirmi
उमरैन,Umrain
चाँदपुर ककरैया,Chandapur Kakraiya
शेखूपुर जैनपुर,Shekhupur Jainpur
अमावता,Amawata
वडेरा,Vadera
सौहरी गढिया,Sauhari Garhia
ठाकुरगाँव,Thakurgaon
दखलीपुर,Dakhalipur
नागापुर,Nagapur
सेमरझाल,Semar Jhaal
टीकरभाऊ,Tikerbhau
नसड़ा,Nasda
नेवादा बौसर,Nevada Bowser
अखरी,Akhari
फुफवार सुईथोक,Phuphar Sui Thore
फुफवार राजथोक,Phuphar Raj Thore
बारादरी,Baradari
बौसर,Bowser
महराजपुर,Maharajpur
मथुराखेड़ा,Mathurakheda
भदासा,Bhadasa
विधनू,Vidhanu
खेरसा,Kherasa
सीढी,Seedhi
नगवाँ,Nagwan
जरकला,Jarakla
मनोह,Manoha
